875724,1219314
1219314,1624599
1624599,1668584
1668584,2267184
2267184,4378391
4378391,5122443
5122443,5378369
5378369,5680669
5680669,8003859
8003859,8172612
8172612,8607269
879619,1345545
1345545,3849023
3849023,4221562
4221562,5006531
5006531,5944195
5944195,6868778
6868778,7559231
7559231,9144640
9144640,9747887
422658,924276
924276,1539780
1539780,1748767
1748767,3849023
3849023,4810285
4810285,5156051
5156051,6733377
6733377,7924168
7924168,8043584
8043584,9346024
519007,1464367
1464367,1940503
1940503,3147266
3147266,3512776
3512776,3897666
3897666,4341521
4341521,4671122
4671122,7787911
7787911,7831428
7831428,7994224
7994224,8773669
8773669,8904624
8904624,9332076
9332076,9798635
9798635,9823603
477007,3849023
3849023,4864868
4864868,5104207
5104207,7298086
7298086,7668108
7668108,8854193
8854193,9310318
9310318,9346024
9346024,9903158
9903158,9919866
877069,2010964
2010964,2922749
2922749,5147734
5147734,5395799
5395799,5555992
5555992,7542927
7542927,9875159
265444,924276
924276,1152023
1152023,3683732
3683732,4014510
4014510,4694326
4694326,5145379
5145379,5872053
5872053,6414201
6414201,7000535
7000535,8043584
8043584,9043350
1167643,1204725
1204725,1731843
1731843,4703479
4703479,4832581
4832581,5148489
5148489,5680669
5680669,6609486
6609486,8403369
8403369,8411386
8411386,8430533
1108653,1891858
1891858,2269245
2269245,2418903
2418903,2619822
2619822,3329325
3329325,7217524
7217524,8798873
266588,2358636
2358636,3113676
3113676,3243187
3243187,3617088
3617088,4241366
4241366,4338993
4338993,5702560
5702560,6251379
6251379,7245893
7245893,7696213
7696213,8358595
8358595,8738143
8738143,8849245
200004,3043273
3043273,3066980
3066980,3152604
3152604,3683732
3683732,5145379
5145379,8778045
8778045,8927740
8927740,8976229
3097495,4923066
4923066,5122229
5122229,9340065
237334,2520300
2520300,4059788
4059788,7795466
7795466,8635051
8635051,8925957
8925957,9346024
391168,1410666
1410666,2063291
2063291,3771538
3771538,4038207
4038207,4460853
4460853,4673764
4673764,5040278
5040278,5141938
5141938,6102084
6102084,6342564
6342564,6703678
6703678,6772906
6772906,6806907
6806907,9436501
237334,244338
244338,252651
252651,1671752
1671752,1745047
1745047,2159571
2159571,3043273
3043273,4601969
4601969,5363361
5363361,6000063
6000063,6297224
6297224,6375308
6375308,6566917
6566917,7781294
7781294,7845220
7845220,8006303
8006303,9710749
2475849,3097495
3097495,4624529
4624529,7547133
7547133,8500608
8500608,9725401
9725401,9835561
9835561,9934607
3252701,3612088
3612088,4167809
4167809,4574896
4574896,8827280
8827280,8950453
266588,865652
865652,2873241
2873241,4338993
5702560,6297224
6297224,6300974
6300974,7586194
7586194,9343673
9343673,9661339
9661339,9710749
4702729,6734406
6734406,9934607
