995,1116
1116,1268
1268,1677
1677,2677
246,1411
1411,2203
2203,2214
2214,2508
2508,2647
236,604
604,967
967,2121
2121,2252
2252,2280
501,2296
2296,2625
55,851
851,2165
2165,2377
792,808
808,1396
1396,1694
1694,1917
729,1518
1518,2181
2181,2214
2214,2252
2252,2285
68,248
248,1518
1518,1694
21,43
43,325
325,1518
1518,2322
2322,2625
967,1375
1375,2121
2280,2463
281,625
625,1159
1159,2021
2021,2051
319,480
480,957
957,1770
1770,1871
1871,2345
2345,2497
2497,2595
248,641
641,1231
1231,1694
1694,1843
1843,1957
1957,2591
124,1214
1214,2318
2318,2561
851,998
998,2123
2123,2291
2291,2397
119,939
939,1019
1019,1214
1214,1518
1518,2648
142,986
986,1084
1084,1424
1424,1872
1872,1952
455,1086
1086,2073
604,2121
187,1284
1284,1292
1292,2194
2194,2364
2364,2878
800,820
820,2151
1428,1903
1903,1917
1917,2842
43,197
197,547
547,1518
1518,2684
2684,2703
501,1767
1767,2268
2268,2677
8,360
360,1362
1362,1461
1461,1462
1462,1537
9,795
795,1694
1694,1801
1801,2173
2173,2227
2214,2647
38,153
153,217
217,773
773,902
902,909
909,1790
1790,2375
274,1202
1202,1414
1414,2648
98,409
409,805
805,1740
1740,2063
2063,2469
2469,2840
9,2173
8,73
73,87
87,825
825,1019
1019,1518
1518,2232
1216,2893
1284,2194
246,1343
1343,1414
1414,2017
142,318
318,986
986,1424
1424,2869
142,909
909,1483
1483,1767
1767,2355
2355,2732
98,1673
1673,2000
2000,2531
2531,2705
2705,2965
555,729
729,2214
8,246
246,360
1362,1411
1411,1461
1537,2214
1871,2112
2112,2150
2150,2345
335,1121
1121,1147
1147,1399
1399,1767
1767,1823
1823,2268
2268,2893
2051,2401
21,2322
800,1175
1175,2151
657,1880
1880,2151
2151,2315
641,1843
217,1999
1499,2165
142,813
813,909
909,1361
1361,1468
1468,1967
1967,2321
2321,2355
2355,2617
820,1175
63,998
998,1548
1548,1624
1624,1667
1667,2532
318,902
902,986
1424,1957
1957,2869
851,1499
9,38
1790,2173
2173,2375
395,891
891,1408
1408,1548
1548,1917
1917,2519
2017,2677
9,68
248,1694
1694,2173
2173,2591
961,1007
1007,1048
1048,1827
825,1518
319,957
127,662
662,752
752,813
813,2053
2053,2285
9,55
55,208
208,851
851,1082
1082,2173
248,1231
1694,2406
2406,2591
611,1412
1412,1455
1455,2063
2469,2648
2648,2815
55,800
1284,1408
1408,2280
2280,2808
236,967
1375,2280
662,813
274,657
217,1518
1518,1999
934,1325
1325,1396
1396,2181
2181,2897
246,2203
2203,2508
21,325
325,2322
405,604
604,2450
2450,2489
2489,2577
124,455
1086,1214
1214,2073
2073,2318
2561,2824
1424,1952
145,1396
1396,1828
1828,2646
2646,2897
187,613
613,1175
1396,1414
1414,1828
43,547
1518,2268
2268,2703
729,2181
69,750
750,1676
1676,1894
55,934
934,2181
142,902
55,68
1411,2214
1843,1943
1943,1957
1957,2224
2224,2268
909,2375
729,1284
1284,2214
2252,2722
43,142
142,197
197,318
318,547
547,986
1424,1518
2703,2869
1801,2227
1175,1499
2151,2165
2165,2315
2315,2377
55,480
480,851
851,1313
902,1790
222,827
827,1023
1023,1187
1187,2224
55,662
1216,2201
2201,2893
